EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
705063,GOVE CO.,QUINTER,05/27/2017,20,Thunderstorm Wind,52.00, ,0,0,0,0,KS,CST-6,EG,116752,C,63,GLD,0,0,Emergency Manager, , , ,2,W,2,W,QUINTER,39.07,-100.27,39.07,-100.27,"EM reported zero visibility due to blowing dust along with nickel sized hail.","A supercell, moving out of eastern Yuma and Kit Carson county in Colorado, crossed into Kansas during the evening of May 26th. The supercell produced large hail, damaging wind gusts, and several reports of tornadoes. Following this storm were two more lines of severe storms aligned with a theta-e axis that moved from west to east through the evening, producing additional hail, damaging wind gusts, and flash flooding.",1
704420,TREGO CO.,OGALLAH,05/27/2017,145,Hail,0.88, ,0,0,0,0,KS,CST-6, ,117087,C,195,DDC,0,0,Public, , , ,0,N,0,N,OGALLAH,38.98,-99.73,38.98,-99.73,"","Strong convection sparked late on the 26th, while none of it became severe on the 26, the storms carried over into the overnight. A regime of modest east/southeasterly surface flow and steep mid-level lapse rates sparked early morning cells on the 27th in southwest Kansas.",2
706275,TREGO CO.,OGALLAH,05/27/2017,145,Hail,0.88, ,0,0,0,0,KS,CST-6, ,117087,C,195,DDC,0,0,Emergency Manager, , , ,1,N,1,N,OGALLAH,39,-99.73,39,-99.73,"","Strong convection sparked late on the 26th, while none of it became severe on the 26, the storms carried over into the overnight. A regime of modest east/southeasterly surface flow and steep mid-level lapse rates sparked early morning cells on the 27th in southwest Kansas.",3
706276,TREGO CO.,CEDAR BLUFF RES,05/27/2017,149,Hail,1.75, ,0,0,0,0,KS,CST-6, ,117087,C,195,DDC,0,0,Emergency Manager, , , ,4,ENE,4,ENE,CEDAR BLUFF RES,38.81,-99.73,38.81,-99.73,"","Strong convection sparked late on the 26th, while none of it became severe on the 26, the storms carried over into the overnight. A regime of modest east/southeasterly surface flow and steep mid-level lapse rates sparked early morning cells on the 27th in southwest Kansas.",4
706277,ELLIS CO.,SCHOENCHEN,05/27/2017,213,Hail,1.00, ,0,0,0,0,KS,CST-6, ,117087,C,51,DDC,0,0,Trained Spotter, , , ,1,SW,1,SW,SCHOENCHEN,38.71,-99.33,38.71,-99.33,"","Strong convection sparked late on the 26th, while none of it became severe on the 26, the storms carried over into the overnight. A regime of modest east/southeasterly surface flow and steep mid-level lapse rates sparked early morning cells on the 27th in southwest Kansas.",5
703194,LYON CO.,PLYMOUTH,05/27/2017,952,Hail,0.88, ,0,0,0,0,KS,CST-6, ,116926,C,111,TOP,0,0,Trained Spotter, , , ,5,NNE,5,NNE,PLYMOUTH,38.48,-96.27,38.48,-96.27,"","Two areas of thunderstorms pushed across the area during the morning and early afternoon hours. Several reports of large hail and damaging winds were noted.",6
703197,COFFEY CO.,LEBO,05/27/2017,1034,Hail,1.00, ,0,0,0,0,KS,CST-6, ,116926,C,31,TOP,0,0,Public, , , ,6,E,6,E,LEBO,38.42,-95.74,38.42,-95.74,"Subway restaurant reported several quarter size stones.","Two areas of thunderstorms pushed across the area during the morning and early afternoon hours. Several reports of large hail and damaging winds were noted.",7
703198,OSAGE CO.,MELVERN,05/27/2017,1045,Hail,1.75, ,0,0,0,0,KS,CST-6, ,116926,C,139,TOP,0,0,Trained Spotter, , , ,3,S,3,S,MELVERN,38.46,-95.63,38.46,-95.63,"Several golf ball size hail stones were reported.","Two areas of thunderstorms pushed across the area during the morning and early afternoon hours. Several reports of large hail and damaging winds were noted.",8
704511,JOHNSON CO.,GARDNER,05/27/2017,1050,Thunderstorm Wind,52.00, ,0,0,0,0,KS,CST-6,EG,117104,C,91,EAX,0,0,Public, , , ,1,S,1,S,GARDNER,38.81,-94.93,38.81,-94.93,"A few large tree limbs were down.","On the morning and afternoon of May 27 strong storms took advantage of incredibly high instability over eastern Kansas and western Missouri. Storms initiated in eastern Kansas and produced some marginally severe hail and strong winds. These storms then moved into Missouri and produced hail up to softballs and damaging winds.",9
704512,JOHNSON CO.,OCHELTREE,05/27/2017,1055,Thunderstorm Wind,56.00, ,0,0,0,0,KS,CST-6,EG,117104,C,91,EAX,0,0,Fire Department/Rescue, , , ,0,N,0,N,OCHELTREE,38.77,-94.82,38.77,-94.82,"Power lines were reported down near 199th and Woodland Road in Spring Hill.","On the morning and afternoon of May 27 strong storms took advantage of incredibly high instability over eastern Kansas and western Missouri. Storms initiated in eastern Kansas and produced some marginally severe hail and strong winds. These storms then moved into Missouri and produced hail up to softballs and damaging winds.",10
