EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
709081,JOHNSON CO.,(IXD)JHNSN CO INDSL,06/17/2017,4,Thunderstorm Wind,54.00, ,0,0,0,0,KS,CST-6,MG,117903,C,91,EAX,0,0,ASOS, , , ,1,W,1,W,(IXD)JHNSN CO INDSL,38.83,-94.89,38.83,-94.89,"ASOS at KIXD reporteda 63 mph wind gust (54 knots).","On the afternoons of June 15 through June 17 multiple rounds of severe storms raked through eastern Kansas causing widespread wind damage and large hail.",1
710497,OSAGE CO.,LYNDON,06/17/2017,138,Hail,1.00, ,0,0,0,0,KS,CST-6, ,115591,C,139,TOP,0,0,Emergency Manager, , , ,2,W,2,W,LYNDON,38.62,-95.72,38.62,-95.72,"","Supercell thunderstorms moved southeast out of Nebraska late on the night of June 16th and produced widespread wind damage, very large hail and one tornado in Marshall County Kansas. No injuries occurred with the storms.",2
710498,OSAGE CO.,LYNDON,06/17/2017,146,Hail,1.75, ,0,0,0,0,KS,CST-6, ,115591,C,139,TOP,0,0,Emergency Manager, , , ,1,S,1,S,LYNDON,38.61,-95.68,38.61,-95.68,"","Supercell thunderstorms moved southeast out of Nebraska late on the night of June 16th and produced widespread wind damage, very large hail and one tornado in Marshall County Kansas. No injuries occurred with the storms.",3
710500,SHAWNEE CO.,DOVER,06/17/2017,150,Hail,1.75, ,0,0,0,0,KS,CST-6, ,115591,C,177,TOP,0,0,Trained Spotter, , , ,2,E,2,E,DOVER,38.97,-95.9,38.97,-95.9,"","Supercell thunderstorms moved southeast out of Nebraska late on the night of June 16th and produced widespread wind damage, very large hail and one tornado in Marshall County Kansas. No injuries occurred with the storms.",4
709055,LINN CO.,PLEASANTON,06/17/2017,157,Thunderstorm Wind,56.00, ,0,0,0,0,KS,CST-6,EG,117903,C,107,EAX,0,0,State Official, , , ,1,W,1,W,PLEASANTON,38.18,-94.71,38.18,-94.71,"Large tree in the roadway.","On the afternoons of June 15 through June 17 multiple rounds of severe storms raked through eastern Kansas causing widespread wind damage and large hail.",5
710501,SHAWNEE CO.,AUBURN,06/17/2017,207,Hail,1.00, ,0,0,0,0,KS,CST-6, ,115591,C,177,TOP,0,0,Trained Spotter, , , ,2,SW,2,SW,AUBURN,38.88,-95.85,38.88,-95.85,"","Supercell thunderstorms moved southeast out of Nebraska late on the night of June 16th and produced widespread wind damage, very large hail and one tornado in Marshall County Kansas. No injuries occurred with the storms.",6
710503,OSAGE CO.,OSAGE CITY ARPT,06/17/2017,230,Hail,2.50, ,0,0,0,0,KS,CST-6, ,115591,C,139,TOP,0,0,Public, , , ,1,NE,1,NE,OSAGE CITY ARPT,38.64,-95.79,38.64,-95.79,"","Supercell thunderstorms moved southeast out of Nebraska late on the night of June 16th and produced widespread wind damage, very large hail and one tornado in Marshall County Kansas. No injuries occurred with the storms.",7
710502,OSAGE CO.,OSAGE CITY ARPT,06/17/2017,230,Hail,2.00, ,0,0,0,0,KS,CST-6, ,115591,C,139,TOP,0,0,Trained Spotter, , , ,1,N,1,N,OSAGE CITY ARPT,38.64,-95.8,38.64,-95.8,"","Supercell thunderstorms moved southeast out of Nebraska late on the night of June 16th and produced widespread wind damage, very large hail and one tornado in Marshall County Kansas. No injuries occurred with the storms.",8
710504,OSAGE CO.,LYNDON,06/17/2017,230,Hail,2.50, ,0,0,0,0,KS,CST-6, ,115591,C,139,TOP,0,0,Public, , , ,1,S,1,S,LYNDON,38.61,-95.68,38.61,-95.68,"","Supercell thunderstorms moved southeast out of Nebraska late on the night of June 16th and produced widespread wind damage, very large hail and one tornado in Marshall County Kansas. No injuries occurred with the storms.",9
710505,JACKSON CO.,DELIA,06/17/2017,235,Hail,1.50, ,0,0,0,0,KS,CST-6, ,115591,C,85,TOP,0,0,Fire Department/Rescue, , , ,5,NE,5,NE,DELIA,39.29,-95.9,39.29,-95.9,"Time was estimated from radar.","Supercell thunderstorms moved southeast out of Nebraska late on the night of June 16th and produced widespread wind damage, very large hail and one tornado in Marshall County Kansas. No injuries occurred with the storms.",10
698785,BOURBON CO.,FT SCOTT,06/17/2017,238,Thunderstorm Wind,52.00, ,0,0,0,0,KS,CST-6,EG,116224,C,11,SGF,0,0,Law Enforcement, , , ,1,NNE,1,NNE,FT SCOTT,37.85,-94.69,37.85,-94.69,"A large tree was uprooted on East Oak Drive.","Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.",11
710507,COFFEY CO.,AGRICOLA,06/17/2017,312,Hail,2.75, ,0,0,0,0,KS,CST-6, ,115591,C,31,TOP,0,0,Public, , , ,3,S,3,S,AGRICOLA,38.3702,-95.5272,38.3702,-95.5272,"","Supercell thunderstorms moved southeast out of Nebraska late on the night of June 16th and produced widespread wind damage, very large hail and one tornado in Marshall County Kansas. No injuries occurred with the storms.",12
710508,ANDERSON CO.,COLONY,06/17/2017,348,Thunderstorm Wind,56.00, ,0,0,0,0,KS,CST-6,EG,115591,C,3,TOP,0,0,Emergency Manager, , , ,2,E,2,E,COLONY,38.07,-95.33,38.07,-95.33,"Estimated winds 55-65 MPH.","Supercell thunderstorms moved southeast out of Nebraska late on the night of June 16th and produced widespread wind damage, very large hail and one tornado in Marshall County Kansas. No injuries occurred with the storms.",13
708821,ALLEN CO.,MORAN,06/17/2017,405,Thunderstorm Wind,61.00, ,0,0,0,0,KS,CST-6,EG,117937,C,1,ICT,0,0,Law Enforcement, , , ,0,N,0,N,MORAN,37.92,-95.17,37.92,-95.17,"Reported by law enforcement.","Another round of severe weather moved across portions of south central and southeast Kansas.  Winds were the main culprit with most speeds around 65 to 70 mph, however, a gust to 80 mph was noted.",14
698775,CRAWFORD CO.,PITTSBURG,06/17/2017,412,Hail,0.75, ,0,0,0,0,KS,CST-6, ,116224,C,37,SGF,0,0,COOP Observer, , , ,1,SW,1,SW,PITTSBURG,37.41,-94.71,37.41,-94.71,"","Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.",15
698781,CRAWFORD CO.,FRONTENAC,06/17/2017,416,Thunderstorm Wind,52.00, ,0,0,0,0,KS,CST-6,EG,116224,C,37,SGF,0,0,Fire Department/Rescue, , , ,1,NE,1,NE,FRONTENAC,37.46,-94.69,37.46,-94.69,"A large tree limb was blown down at North Crawford in Frontenac.","Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.",16
